id,dataset_id,table_name,column_name,jsonb_key,semantic_name,data_type,enum_mapping,extraction_rule,is_active,created_at,updated_at
12296,63,v_reporting_nodes,parent_node,,上级名称,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12297,63,v_reporting_nodes,remaining_task_amount,,剩余任务金额,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12298,63,v_reporting_nodes,segment_name,,行业线,text,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12299,63,v_reporting_nodes,target_amount,,任务金额,numeric,{},,True,2026-06-26 07:37:03.976592+00:00,2026-06-26 07:37:03.976592+00:00
12300,13,public.feishu_tbl_xioafeizhe,created_time,,created_time,timestamp without time zone,{},created_time,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12301,13,public.feishu_tbl_xioafeizhe,fields,,fields,jsonb,{},fields,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12302,13,public.feishu_tbl_xioafeizhe,fields,1季度比例,1季度比例,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'1季度比例') = 'array' THEN ""fields""->'1季度比例'->0->>'text' ELSE ""fields""->>'1季度比例' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12303,13,public.feishu_tbl_xioafeizhe,fields,2601,2601,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'2601') = 'array' THEN ""fields""->'2601'->0->>'text' ELSE ""fields""->>'2601' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12304,13,public.feishu_tbl_xioafeizhe,fields,2602,2602,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'2602') = 'array' THEN ""fields""->'2602'->0->>'text' ELSE ""fields""->>'2602' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12305,13,public.feishu_tbl_xioafeizhe,fields,2603,2603,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'2603') = 'array' THEN ""fields""->'2603'->0->>'text' ELSE ""fields""->>'2603' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12306,13,public.feishu_tbl_xioafeizhe,fields,2604,2604,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'2604') = 'array' THEN ""fields""->'2604'->0->>'text' ELSE ""fields""->>'2604' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12307,13,public.feishu_tbl_xioafeizhe,fields,2季度比例,2季度比例,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'2季度比例') = 'array' THEN ""fields""->'2季度比例'->0->>'text' ELSE ""fields""->>'2季度比例' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12308,13,public.feishu_tbl_xioafeizhe,fields,3季度比例,3季度比例,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'3季度比例') = 'array' THEN ""fields""->'3季度比例'->0->>'text' ELSE ""fields""->>'3季度比例' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12309,13,public.feishu_tbl_xioafeizhe,fields,4季度比例,4季度比例,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'4季度比例') = 'array' THEN ""fields""->'4季度比例'->0->>'text' ELSE ""fields""->>'4季度比例' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12310,13,public.feishu_tbl_xioafeizhe,fields,aaa,aaa,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'aaa') = 'array' THEN ""fields""->'aaa'->0->>'text' ELSE ""fields""->>'aaa' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12311,13,public.feishu_tbl_xioafeizhe,fields,客户经理已分配金额-楼宇办公,客户经理已分配金额-楼宇办公,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'客户经理已分配金额-楼宇办公') = 'array' THEN ""fields""->'客户经理已分配金额-楼宇办公'->0->>'text' ELSE ""fields""->>'客户经理已分配金额-楼宇办公' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12312,13,public.feishu_tbl_xioafeizhe,fields,客户经理已分配金额-工业健康,客户经理已分配金额-工业健康,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'客户经理已分配金额-工业健康') = 'array' THEN ""fields""->'客户经理已分配金额-工业健康'->0->>'text' ELSE ""fields""->>'客户经理已分配金额-工业健康' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12313,13,public.feishu_tbl_xioafeizhe,fields,客户经理已分配金额-食饮部,客户经理已分配金额-食饮部,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'客户经理已分配金额-食饮部') = 'array' THEN ""fields""->'客户经理已分配金额-食饮部'->0->>'text' ELSE ""fields""->>'客户经理已分配金额-食饮部' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12334,13,public.feishu_tbl_xioafeizhe,fields,地产（万）,地产（万）,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'地产（万）') = 'array' THEN ""fields""->'地产（万）'->0->>'text' ELSE ""fields""->>'地产（万）' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12314,13,public.feishu_tbl_xioafeizhe,fields,客户经理父级已审批金额-楼宇办公,客户经理父级已审批金额-楼宇办公,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'客户经理父级已审批金额-楼宇办公') = 'array' THEN ""fields""->'客户经理父级已审批金额-楼宇办公'->0->>'text' ELSE ""fields""->>'客户经理父级已审批金额-楼宇办公' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12315,13,public.feishu_tbl_xioafeizhe,fields,客户经理父级已审批金额-工业健康,客户经理父级已审批金额-工业健康,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'客户经理父级已审批金额-工业健康') = 'array' THEN ""fields""->'客户经理父级已审批金额-工业健康'->0->>'text' ELSE ""fields""->>'客户经理父级已审批金额-工业健康' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12316,13,public.feishu_tbl_xioafeizhe,fields,客户经理父级已审批金额-食饮部,客户经理父级已审批金额-食饮部,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'客户经理父级已审批金额-食饮部') = 'array' THEN ""fields""->'客户经理父级已审批金额-食饮部'->0->>'text' ELSE ""fields""->>'客户经理父级已审批金额-食饮部' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12317,13,public.feishu_tbl_xioafeizhe,fields,事业群,事业群,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'事业群') = 'array' THEN ""fields""->'事业群'->0->>'text' ELSE ""fields""->>'事业群' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12318,13,public.feishu_tbl_xioafeizhe,fields,事业群下派战区总任务金额,事业群下派战区总任务金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'事业群下派战区总任务金额') = 'array' THEN ""fields""->'事业群下派战区总任务金额'->0->>'text' ELSE ""fields""->>'事业群下派战区总任务金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12319,13,public.feishu_tbl_xioafeizhe,fields,事业群剩余未分配金额,事业群剩余未分配金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'事业群剩余未分配金额') = 'array' THEN ""fields""->'事业群剩余未分配金额'->0->>'text' ELSE ""fields""->>'事业群剩余未分配金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12320,13,public.feishu_tbl_xioafeizhe,fields,片区下派客户经理总任务金额,片区下派客户经理总任务金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'片区下派客户经理总任务金额') = 'array' THEN ""fields""->'片区下派客户经理总任务金额'->0->>'text' ELSE ""fields""->>'片区下派客户经理总任务金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12321,13,public.feishu_tbl_xioafeizhe,fields,任务维护人,任务维护人,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'任务维护人') = 'array' THEN ""fields""->'任务维护人'->0->>'text' ELSE ""fields""->>'任务维护人' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12322,13,public.feishu_tbl_xioafeizhe,fields,公式,公式,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'公式') = 'array' THEN ""fields""->'公式'->0->>'text' ELSE ""fields""->>'公式' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12323,13,public.feishu_tbl_xioafeizhe,fields,战区,战区,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'战区') = 'array' THEN ""fields""->'战区'->0->>'text' ELSE ""fields""->>'战区' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12324,13,public.feishu_tbl_xioafeizhe,fields,战区下派片区总任务金额,战区下派片区总任务金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'战区下派片区总任务金额') = 'array' THEN ""fields""->'战区下派片区总任务金额'->0->>'text' ELSE ""fields""->>'战区下派片区总任务金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12325,13,public.feishu_tbl_xioafeizhe,fields,战区已分配金额-新零售,战区已分配金额-新零售,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'战区已分配金额-新零售') = 'array' THEN ""fields""->'战区已分配金额-新零售'->0->>'text' ELSE ""fields""->>'战区已分配金额-新零售' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12326,13,public.feishu_tbl_xioafeizhe,fields,战区已分配金额-燃气定制,战区已分配金额-燃气定制,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'战区已分配金额-燃气定制') = 'array' THEN ""fields""->'战区已分配金额-燃气定制'->0->>'text' ELSE ""fields""->>'战区已分配金额-燃气定制' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12327,13,public.feishu_tbl_xioafeizhe,fields,战区已分配金额-线下,战区已分配金额-线下,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'战区已分配金额-线下') = 'array' THEN ""fields""->'战区已分配金额-线下'->0->>'text' ELSE ""fields""->>'战区已分配金额-线下' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12328,13,public.feishu_tbl_xioafeizhe,fields,战区总任务金额,战区总任务金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'战区总任务金额') = 'array' THEN ""fields""->'战区总任务金额'->0->>'text' ELSE ""fields""->>'战区总任务金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12329,13,public.feishu_tbl_xioafeizhe,fields,创建人,创建人,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'创建人') = 'array' THEN ""fields""->'创建人'->0->>'text' ELSE ""fields""->>'创建人' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12330,13,public.feishu_tbl_xioafeizhe,fields,剩余分配百分比,剩余分配百分比,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'剩余分配百分比') = 'array' THEN ""fields""->'剩余分配百分比'->0->>'text' ELSE ""fields""->>'剩余分配百分比' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12331,13,public.feishu_tbl_xioafeizhe,fields,地产,地产,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'地产') = 'array' THEN ""fields""->'地产'->0->>'text' ELSE ""fields""->>'地产' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12332,13,public.feishu_tbl_xioafeizhe,fields,地产-年度开单金额,地产-年度开单金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'地产-年度开单金额') = 'array' THEN ""fields""->'地产-年度开单金额'->0->>'text' ELSE ""fields""->>'地产-年度开单金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12333,13,public.feishu_tbl_xioafeizhe,fields,地产-年度开单金额（万）,地产-年度开单金额（万）,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'地产-年度开单金额（万）') = 'array' THEN ""fields""->'地产-年度开单金额（万）'->0->>'text' ELSE ""fields""->>'地产-年度开单金额（万）' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12335,13,public.feishu_tbl_xioafeizhe,fields,城市站已分配金额-新零售,城市站已分配金额-新零售,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'城市站已分配金额-新零售') = 'array' THEN ""fields""->'城市站已分配金额-新零售'->0->>'text' ELSE ""fields""->>'城市站已分配金额-新零售' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12336,13,public.feishu_tbl_xioafeizhe,fields,城市站已分配金额-燃气定制,城市站已分配金额-燃气定制,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'城市站已分配金额-燃气定制') = 'array' THEN ""fields""->'城市站已分配金额-燃气定制'->0->>'text' ELSE ""fields""->>'城市站已分配金额-燃气定制' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12337,13,public.feishu_tbl_xioafeizhe,fields,城市站已分配金额-线下,城市站已分配金额-线下,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'城市站已分配金额-线下') = 'array' THEN ""fields""->'城市站已分配金额-线下'->0->>'text' ELSE ""fields""->>'城市站已分配金额-线下' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12338,13,public.feishu_tbl_xioafeizhe,fields,城市站父级已审批金额-新零售,城市站父级已审批金额-新零售,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'城市站父级已审批金额-新零售') = 'array' THEN ""fields""->'城市站父级已审批金额-新零售'->0->>'text' ELSE ""fields""->>'城市站父级已审批金额-新零售' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12339,13,public.feishu_tbl_xioafeizhe,fields,城市站父级已审批金额-燃气定制,城市站父级已审批金额-燃气定制,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'城市站父级已审批金额-燃气定制') = 'array' THEN ""fields""->'城市站父级已审批金额-燃气定制'->0->>'text' ELSE ""fields""->>'城市站父级已审批金额-燃气定制' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12340,13,public.feishu_tbl_xioafeizhe,fields,城市站父级已审批金额-线下,城市站父级已审批金额-线下,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'城市站父级已审批金额-线下') = 'array' THEN ""fields""->'城市站父级已审批金额-线下'->0->>'text' ELSE ""fields""->>'城市站父级已审批金额-线下' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12341,13,public.feishu_tbl_xioafeizhe,fields,城市战区,城市战区,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'城市战区') = 'array' THEN ""fields""->'城市战区'->0->>'text' ELSE ""fields""->>'城市战区' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12342,13,public.feishu_tbl_xioafeizhe,fields,层级级别,层级级别,字符串,{},"CASE WHEN jsonb_typeof(""fields""->'层级级别') = 'array' THEN ""fields""->'层级级别'->0->>'text' ELSE ""fields""->>'层级级别' END",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12343,13,public.feishu_tbl_xioafeizhe,fields,年度开单金额,年度开单金额,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'年度开单金额') = 'array' THEN ""fields""->'年度开单金额'->0->>'text' ELSE ""fields""->>'年度开单金额' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12344,13,public.feishu_tbl_xioafeizhe,fields,年度开单金额转换（以万为单位）,年度开单金额转换（以万为单位）,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'年度开单金额转换（以万为单位）') = 'array' THEN ""fields""->'年度开单金额转换（以万为单位）'->0->>'text' ELSE ""fields""->>'年度开单金额转换（以万为单位）' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12345,13,public.feishu_tbl_xioafeizhe,fields,年度阈值|开单差额（万）,年度阈值|开单差额（万）,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'年度阈值|开单差额（万）') = 'array' THEN ""fields""->'年度阈值|开单差额（万）'->0->>'text' ELSE ""fields""->>'年度阈值|开单差额（万）' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12346,13,public.feishu_tbl_xioafeizhe,fields,当前年,当前年,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'当前年') = 'array' THEN ""fields""->'当前年'->0->>'text' ELSE ""fields""->>'当前年' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12347,13,public.feishu_tbl_xioafeizhe,fields,当前日期,当前日期,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'当前日期') = 'array' THEN ""fields""->'当前日期'->0->>'text' ELSE ""fields""->>'当前日期' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12348,13,public.feishu_tbl_xioafeizhe,fields,当前月,当前月,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'当前月') = 'array' THEN ""fields""->'当前月'->0->>'text' ELSE ""fields""->>'当前月' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12349,13,public.feishu_tbl_xioafeizhe,fields,当前月份任务达成率,当前月份任务达成率,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'当前月份任务达成率') = 'array' THEN ""fields""->'当前月份任务达成率'->0->>'text' ELSE ""fields""->>'当前月份任务达成率' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12350,13,public.feishu_tbl_xioafeizhe,fields,当前月最后一天,当前月最后一天,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'当前月最后一天') = 'array' THEN ""fields""->'当前月最后一天'->0->>'text' ELSE ""fields""->>'当前月最后一天' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12351,13,public.feishu_tbl_xioafeizhe,fields,总任务承接人,总任务承接人,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'总任务承接人') = 'array' THEN ""fields""->'总任务承接人'->0->>'text' ELSE ""fields""->>'总任务承接人' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12352,13,public.feishu_tbl_xioafeizhe,fields,总任务达成率,总任务达成率,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'总任务达成率') = 'array' THEN ""fields""->'总任务达成率'->0->>'text' ELSE ""fields""->>'总任务达成率' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12353,13,public.feishu_tbl_xioafeizhe,fields,总任务（金额）,总任务（金额）,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'总任务（金额）') = 'array' THEN ""fields""->'总任务（金额）'->0->>'text' ELSE ""fields""->>'总任务（金额）' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12395,13,public.feishu_tbl_xioafeizhe,id,,id,bigint,{},id,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12396,13,public.feishu_tbl_xioafeizhe,record_id,,record_id,text,{},record_id,True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
12354,13,public.feishu_tbl_xioafeizhe,fields,总金额转换（以万为单位）,总金额转换（以万为单位）,数字,{},"COALESCE(NULLIF(regexp_replace(CASE WHEN jsonb_typeof(""fields""->'总金额转换（以万为单位）') = 'array' THEN ""fields""->'总金额转换（以万为单位）'->0->>'text' ELSE ""fields""->>'总金额转换（以万为单位）' END, '[^0-9.-]', '', 'g'), ''), '0')::NUMERIC",True,2026-06-26 07:37:11.907836+00:00,2026-06-26 07:37:11.907836+00:00
